chrom	start	end	nSites	recombRate	CI95LO	CI95HI
Chr10	0	153000	662	5.866724641077785e-09	1.1048239450957495e-09	1.2862472621986857e-08
Chr10	153000	306000	283	5.447480104775246e-10	0	4.069490863622381e-09
Chr10	306000	459000	481	0	0	3.4378057733874805e-09
Chr10	459000	612000	648	4.9708283755280504e-08	4.0519727084189083e-08	5.462216319196592e-08
Chr10	612000	765000	270	2.9193938005308135e-09	0	8.602544528328494e-09
Chr10	765000	918000	128	0	0	3.4378057733874805e-09
Chr10	918000	1071000	609	7.790899199994368e-09	2.208952472932009e-09	1.6382583008839488e-08
Chr10	1071000	1224000	238	8.708765409204636e-09	2.833115353817709e-09	1.7477927250320285e-08
Chr10	1224000	1377000	1017	1.6094149139215722e-09	0	6.2419566863306965e-09
Chr10	1377000	1530000	615	5.131220630048476e-08	4.212364962939334e-08	5.622608573717018e-08
Chr10	1530000	1683000	646	1.8815672124954693e-08	9.188045540103082e-09	3.1264410520630865e-08
Chr10	1683000	1836000	503	1.182688791271194e-08	4.776408734450869e-09	2.3184957553077834e-08
Chr10	1836000	1989000	509	4.4392142575462316e-08	3.3114064681656344e-08	5.0119509422914545e-08
Chr10	1989000	2142000	551	3.050529447340376e-08	1.8062070910762266e-08	3.925679515309719e-08
Chr10	2142000	2295000	603	3.161323666821955e-08	1.8511833727911955e-08	3.993062682260825e-08
Chr10	2295000	2448000	329	1.4824773131417224e-08	6.575368571960006e-09	2.6880627224224518e-08
Chr10	2448000	2601000	546	3.003967056621326e-08	1.7151459756521544e-08	3.9689679358263617e-08
Chr10	2601000	2754000	603	6.738961109288248e-09	1.1469226769766515e-09	1.4892363062880513e-08
Chr10	2754000	2907000	849	1.344953638231365e-08	5.999709182734333e-09	2.5461056827257008e-08
Chr10	2907000	3060000	546	1.159867181341064e-08	4.54819263514957e-09	2.2956741453776536e-08
Chr10	3060000	3213000	532	2.3127402358822637e-09	0	7.256765713786553e-09
Chr10	3213000	3366000	1054	1.350269744064268e-08	6.052870241063363e-09	2.5514217885586038e-08
Chr10	3366000	3519000	587	2.5664459018458285e-08	1.3688457450243629e-08	3.651376633766336e-08
Chr10	3519000	3672000	794	1.8463901556837882e-08	9.143120232297932e-09	3.071302291850056e-08
Chr10	3672000	3825000	1021	3.3812253837998155e-09	0	8.852909178744043e-09
Chr10	3825000	3978000	636	2.6661453893341726e-08	1.4369764493695638e-08	3.6718271138982286e-08
Chr10	3978000	4131000	889	1.3820839843953232e-09	0	6.0146257568044475e-09
Chr10	4131000	4284000	680	0	0	3.4378057733874805e-09
Chr10	4284000	4437000	659	2.501434528978625e-08	1.3624607514639181e-08	3.6468444647663363e-08
Chr10	4437000	4590000	604	5.4528838650997316e-08	4.5340281979905895e-08	5.9442718087682734e-08
Chr10	4590000	4743000	141	2.563305541624266e-08	1.3657053848028004e-08	3.648236273544774e-08
Chr10	4743000	4896000	154	7.423494448004426e-10	0	4.267092297945299e-09
Chr10	4896000	5049000	138	6.86345803370294e-09	1.2714196013913434e-09	1.5016859987295204e-08
Chr10	5049000	5202000	764	2.9495674367999264e-08	1.7199089284494868e-08	3.9209890910277373e-08
Chr10	5202000	5355000	410	2.5058054362816202e-08	1.3668316587669135e-08	3.6512153720693313e-08
Chr10	5355000	5508000	423	2.153991537244578e-08	1.0870077647981719e-08	3.334798900243881e-08
Chr10	5508000	5661000	709	1.0843526666584579e-08	4.5258918512952264e-09	2.096797465767349e-08
Chr10	5661000	5814000	417	2.7687692614524174e-08	1.607018334881969e-08	3.757690677320011e-08
Chr10	5814000	5967000	485	1.1760791844719948e-08	4.7103126664588776e-09	2.3118861485085845e-08
Chr10	5967000	6120000	290	4.997309325677076e-09	5.29653746855626e-10	1.115016108709774e-08
Chr10	6120000	6273000	216	6.840184725147577e-09	2.2315613755363705e-09	1.4281724465119425e-08
Chr10	6273000	6426000	1109	9.634933099220017e-09	3.3612751061144863e-09	1.944697170306029e-08
Chr10	6426000	6579000	374	2.9918833021826445e-08	1.703062221213473e-08	3.95688418138768e-08
Chr10	6579000	6732000	637	1.142750205029813e-08	4.724320751381014e-09	2.1110549436431253e-08
Chr10	6732000	6885000	359	7.45270280789412e-09	2.11502877179526e-09	1.624427143654628e-08
Chr10	6885000	7038000	544	3.678554088435842e-08	2.5290946763383e-08	4.3694800271203146e-08
Chr10	7038000	7191000	826	5.1060431458492393e-08	4.187187478740097e-08	5.597431089517781e-08
Chr10	7191000	7344000	605	5.482330852095167e-08	4.563475184986025e-08	5.97371879576371e-08
Chr10	7344000	7497000	755	1.2130918294527833e-08	5.080439116266762e-09	2.3488987934893728e-08
Chr10	7497000	7650000	597	2.2377758977306852e-08	1.0842350881909083e-08	3.38359348964947e-08
Chr10	7650000	7803000	742	1.7108438228403752e-08	7.2589135436574376e-09	2.87673493982355e-08
