Chr Start End
Chr01 865000 989999
Chr01 11595000 11599999
Chr01 11600000 11604999
Chr01 18540000 18764999
Chr01 22215000 22344999
Chr01 23335000 23424999
Chr01 25665000 25669999
Chr01 25670000 25684999
Chr01 29300000 29319999
Chr01 29320000 29324999
Chr01 29325000 29584999
Chr01 29840000 29874999
Chr01 33515000 33519999
Chr02 2415000 2689999
Chr02 7415000 7464999
Chr02 7850000 7994999
Chr02 21190000 21194999
Chr02 21195000 21714999
Chr02 35535000 35614999
Chr02 39510000 39519999
Chr02 40065000 40069999
Chr02 40070000 40319999
Chr02 48335000 49109999
Chr03 1355000 1419999
Chr03 2055000 2254999
Chr03 33670000 33689999
Chr03 35660000 35664999
Chr03 38520000 38539999
Chr03 51595000 51724999
Chr03 61555000 61644999
Chr04 5795000 6054999
Chr04 9455000 9764999
Chr04 16055000 16319999
Chr04 16360000 16709999
Chr04 20360000 20424999
Chr04 23810000 24194999
Chr04 31520000 31529999
Chr04 31540000 31564999
Chr04 33995000 34214999
Chr05 21350000 21354999
Chr05 62385000 62549999
Chr06 2290000 2294999
Chr06 2310000 2439999
Chr06 2615000 2964999
Chr06 3135000 3314999
Chr06 7225000 7244999
Chr06 10130000 10134999
Chr06 10155000 10409999
Chr06 10790000 11019999
Chr06 15575000 15579999
Chr06 21105000 21309999
Chr06 29850000 30244999
Chr06 42100000 42104999
Chr06 42485000 42489999
Chr06 42490000 42609999
Chr06 46340000 46599999
Chr06 51250000 51254999
Chr06 51255000 51259999
Chr06 51260000 51264999
Chr06 51265000 51689999
Chr07 710000 814999
Chr07 26960000 26964999
Chr07 31200000 31379999
Chr07 41740000 41744999
Chr07 50675000 50699999
Chr07 51060000 51649999
Chr08 1870000 1874999
Chr08 1875000 1879999
Chr08 1880000 2209999
Chr08 6940000 6964999
Chr08 7060000 7064999
Chr08 9440000 9444999
Chr08 13775000 14249999
Chr08 16125000 16154999
Chr08 28645000 28649999
Chr08 31250000 31254999
Chr08 54685000 54949999
Chr08 63370000 63544999
Chr09 2165000 2169999
Chr09 14955000 15249999
Chr09 17085000 17504999
Chr09 17605000 17704999
Chr09 18825000 18834999
Chr09 18835000 18839999
Chr09 18840000 18844999
Chr09 18865000 18869999
Chr09 18870000 18919999
Chr09 38125000 38139999
Chr10 1220000 1239999
Chr10 7165000 7374999
Chr10 7545000 7659999
Chr10 8990000 8994999
Chr10 9005000 9279999
Chr10 17385000 17429999
Chr10 19080000 19084999
Chr10 20320000 20454999
Chr10 28660000 28759999
Chr10 29705000 29964999
Chr10 31575000 31614999
Chr11 9315000 9319999
Chr11 12210000 12214999
Chr11 21210000 21394999
Chr11 34690000 34694999
Chr11 35340000 35349999
Chr11 35795000 36234999
