query	match
Eucgr.A01319.1	ANN06126
Eucgr.A00904.1	ANN06244
Eucgr.A00861.1	ANN06270
Eucgr.A00637.1	ANN06417
Eucgr.A00595.1	ANN06452
Eucgr.B02802.2	ANN06548
Eucgr.A01218.1	ANN06694
Eucgr.A01134.1	ANN06764
Eucgr.A01593.1	ANN06854
Eucgr.A01433.1	ANN06965
Eucgr.A01041.1	ANN07067
Eucgr.A01061.1	ANN07080
Eucgr.A01118.1	ANN07123
Eucgr.A01858.1	ANN07291
Eucgr.A02381.1	ANN07713
Eucgr.A02420.1	ANN07733
Eucgr.A02560.1	ANN07871
Eucgr.A02615.1	ANN07915
Eucgr.A02624.2	ANN07929
Eucgr.A02701.1	ANN07988
Eucgr.A02763.2	ANN08026
Eucgr.A02764.1	ANN08027
Eucgr.B00086.1	ANN18878
Eucgr.L03568.1	ANN18820
Eucgr.B00222.1	ANN18767
Eucgr.B00577.1	ANN18435
Eucgr.B00736.1	ANN18263
Eucgr.B01188.1	ANN17852
Eucgr.B01305.2	ANN17774
Eucgr.B01595.1	ANN17752
Eucgr.B01596.1	ANN17749
Eucgr.B01600.2	ANN17743
Eucgr.B01534.2	ANN20956
Eucgr.B01487.1	ANN20917
Eucgr.B01471.1	ANN20900
Eucgr.B01458.1	ANN20867
Eucgr.B02274.1	ANN20148
Eucgr.B02329.1	ANN20099
Eucgr.B02343.1	ANN20098
Eucgr.B02701.1	ANN19801
Eucgr.B02667.1	ANN19741
Eucgr.B02889.1	ANN19682
Eucgr.B03148.1	ANN19508
Eucgr.B03379.1	ANN19418
Eucgr.B03305.3	ANN19364
Eucgr.B03303.1	ANN19363
Eucgr.B03234.1	ANN19316
Eucgr.B03461.1	ANN19297
Eucgr.B03544.1	ANN19236
Eucgr.B03593.2	ANN19202
Eucgr.B03630.1	ANN19177
Eucgr.B03752.1	ANN19093
Eucgr.B03932.1	ANN18963
Eucgr.C00176.1	ANN23067
Eucgr.C00180.2	ANN23072
Eucgr.C00183.2	ANN23073
Eucgr.C00662.1	ANN23377
Eucgr.L02999.1	ANN23501
Eucgr.C00899.1	ANN23556
Eucgr.C00932.1	ANN23573
Eucgr.C01011.1	ANN23650
Eucgr.L02381.1	ANN23762
Eucgr.L00293.1	ANN23805
Eucgr.C01170.1	ANN23825
Eucgr.C01524.1	ANN23847
Eucgr.C01577.1	ANN24054
Eucgr.C02245.1	ANN21383
Eucgr.C02332.1	ANN21479
Eucgr.C02854.1	ANN21979
Eucgr.C02896.1	ANN22015
Eucgr.C03299.3	ANN22249
Eucgr.C03301.1	ANN22250
Eucgr.C03469.1	ANN22431
Eucgr.C03464.1	ANN22436
Eucgr.C03721.1	ANN22536
Eucgr.D00307.4	ANN09973
Eucgr.D00608.1	ANN09783
Eucgr.D00653.1	ANN09729
Eucgr.D00696.3	ANN09687
