Chr Start End
Chr01 865000 989999
Chr01 1695000 2459999
Chr01 4030000 4034999
Chr01 7125000 7129999
Chr01 7130000 7174999
Chr01 7990000 8049999
Chr01 9260000 9524999
Chr01 11595000 11599999
Chr01 11600000 11604999
Chr01 14720000 14724999
Chr01 18540000 18764999
Chr01 21665000 21804999
Chr01 22215000 22344999
Chr01 22865000 22869999
Chr01 23335000 23424999
Chr01 25665000 25669999
Chr01 25670000 25684999
Chr01 26705000 27039999
Chr01 27040000 27084999
Chr01 27240000 27274999
Chr01 29300000 29319999
Chr01 29320000 29324999
Chr01 29325000 29584999
Chr01 29840000 29874999
Chr01 33515000 33519999
Chr01 34535000 34579999
Chr01 38405000 38709999
Chr01 39440000 39659999
Chr02 315000 854999
Chr02 2415000 2689999
Chr02 7415000 7464999
Chr02 7850000 7994999
Chr02 15930000 16269999
Chr02 17355000 17359999
Chr02 19715000 19729999
Chr02 19730000 19749999
Chr02 21185000 21189999
Chr02 21190000 21194999
Chr02 21195000 21714999
Chr02 21935000 22064999
Chr02 28610000 28614999
Chr02 32890000 32894999
Chr02 33460000 34104999
Chr02 35535000 35614999
Chr02 39510000 39519999
Chr02 39520000 39549999
Chr02 39615000 39634999
Chr02 40065000 40069999
Chr02 40070000 40319999
Chr02 44375000 44414999
Chr02 48335000 49109999
Chr03 1355000 1419999
Chr03 2055000 2254999
Chr03 2255000 3039999
Chr03 29110000 29164999
Chr03 31840000 31844999
Chr03 33665000 33669999
Chr03 33670000 33689999
Chr03 35215000 35249999
Chr03 35660000 35664999
Chr03 38520000 38539999
Chr03 51595000 51724999
Chr03 59505000 59524999
Chr03 59665000 59669999
Chr03 60725000 61409999
Chr03 61555000 61644999
Chr03 61900000 63924999
Chr04 5795000 6054999
Chr04 7615000 7649999
Chr04 8930000 9169999
Chr04 9455000 9764999
Chr04 11985000 11989999
Chr04 12325000 12334999
Chr04 16055000 16319999
Chr04 16355000 16359999
Chr04 16360000 16709999
Chr04 20360000 20424999
Chr04 23810000 24194999
Chr04 24820000 24834999
Chr04 28790000 28794999
Chr04 30140000 30234999
Chr04 31520000 31529999
Chr04 31530000 31534999
Chr04 31535000 31539999
Chr04 31540000 31564999
Chr04 33995000 34214999
Chr05 130000 134999
Chr05 1380000 2109999
Chr05 2110000 2114999
Chr05 9530000 9579999
Chr05 18925000 18929999
Chr05 21350000 21354999
Chr05 43765000 43774999
Chr05 51950000 52639999
Chr05 57335000 57339999
Chr05 62385000 62549999
Chr06 615000 1099999
Chr06 2290000 2294999
Chr06 2310000 2439999
Chr06 2440000 2444999
Chr06 2450000 2499999
Chr06 2615000 2964999
Chr06 3135000 3314999
