pos	chr	cM
353279	Chr09	3.702
353626	Chr09	3.702
354210	Chr09	3.702
1169701	Chr09	6.365
1181734	Chr09	6.367
1876176	Chr09	6.41
2503233	Chr09	7.245
2685781	Chr09	7.437
2685786	Chr09	7.44
5428259	Chr09	8.845
6646936	Chr09	12.985
6647430	Chr09	13.392
8855955	Chr09	14.674
10829781	Chr09	15.263
10830165	Chr09	15.283
11267392	Chr09	16.684
15370751	Chr09	18.77
16642740	Chr09	22.383
16643345	Chr09	22.383
22602721	Chr09	36.103
24173830	Chr09	45.531
24174708	Chr09	45.539
24793900	Chr09	49.125
24830546	Chr09	50.523
24830900	Chr09	51.154
25008234	Chr09	52.937
25008867	Chr09	52.968
25561546	Chr09	54.18
25561966	Chr09	54.232
27028876	Chr09	60.762
27029243	Chr09	60.762
27039453	Chr09	61.02
27040080	Chr09	61.177
28048432	Chr09	61.946
28397402	Chr09	64.385
33506274	Chr09	79.343
33506570	Chr09	79.361
34754858	Chr09	82.835
36008319	Chr09	83.351
38042549	Chr09	85.321
38043096	Chr09	85.321
