chrom	start	end	nSites	recombRate	CI95LO	CI95HI
Chr08	168000	336000	426	5.3599997969926695e-09	7.683770705129427e-10	1.1777160621937927e-08
Chr08	336000	504000	526	8.039798371697673e-09	2.229731233185719e-09	1.6969647365286177e-08
Chr08	504000	672000	197	3.6391698243324002e-09	1.1114040017220516e-10	9.624607170089247e-09
Chr08	672000	840000	343	3.1784842590555585e-08	1.9516104520635125e-08	4.083038006516126e-08
Chr08	1008000	1176000	483	1.4816901849167177e-08	6.628630055226406e-09	2.74140547699574e-08
Chr08	1176000	1344000	106	2.669936703904279e-08	1.4476059517334596e-08	3.8248256439401824e-08
Chr08	1344000	1512000	363	6.32877107673171e-09	1.5900891854063965e-09	1.396859762589788e-08
Chr08	1512000	1680000	106	4.9781324015006644e-09	5.57471364270731e-10	1.2410249612049146e-08
Chr08	1680000	1848000	596	1.7210550501331183e-08	7.857897427107346e-09	3.082343580920992e-08
Chr08	1848000	2016000	1206	2.0890722120623833e-08	1.037140603575672e-08	3.433684695640472e-08
Chr08	2016000	2184000	288	1.1157036012003193e-08	4.136908066380404e-09	2.2046227738096563e-08
Chr08	2184000	2352000	856	3.476690325052952e-08	2.1267339294952688e-08	4.240199003555896e-08
Chr08	2352000	2520000	401	1.0787917009030419e-08	3.76778906340763e-09	2.1677108735123786e-08
Chr08	2520000	2688000	727	2.176278073849111e-08	1.0795982935277585e-08	3.453534792017584e-08
Chr08	2688000	2856000	499	1.3639461390160113e-08	5.249743536386153e-09	2.5157403856614767e-08
Chr08	2856000	3024000	771	2.0993516782600108e-08	1.0354205794830062e-08	3.4608547840723e-08
Chr08	3024000	3192000	69	9.744532316234588e-09	3.7075146748874683e-09	2.001910857269836e-08
Chr08	3192000	3360000	551	1.9083290272670787e-08	8.650514296216365e-09	3.1964317006805836e-08
Chr08	3360000	3528000	266	6.277701201193139e-09	1.5390193098678256e-09	1.391752775035931e-08
Chr08	3528000	3696000	435	2.917842842265882e-08	1.5987806539006877e-08	3.941609797920419e-08
Chr08	3864000	4032000	736	2.8931051130722988e-08	1.5600902368131567e-08	3.96025413111369e-08
Chr08	4032000	4200000	447	1.2697710554166633e-08	5.396086360010713e-09	2.5149532660907085e-08
Chr08	4200000	4368000	359	8.50209856762805e-09	2.692031429116097e-09	1.7431947561216555e-08
Chr08	4368000	4536000	779	1.1120317502849255e-08	3.936616402205552e-09	2.2078631225957653e-08
Chr08	4536000	4704000	767	3.0461332024785286e-08	1.6854978158960414e-08	3.996057768152638e-08
Chr08	4704000	4872000	468	2.520102379222478e-08	1.3555001556757266e-08	3.665253331064789e-08
Chr08	4872000	5040000	646	1.7398261241657238e-08	8.0456081674334e-09	3.1011146549535977e-08
Chr08	5040000	5208000	768	2.9500570855685775e-08	1.6566103980349604e-08	3.901567609274256e-08
Chr08	5208000	5376000	530	3.5469572443930353e-08	2.2590855373366813e-08	4.3187186813725806e-08
Chr08	5376000	5544000	564	2.2711863172768557e-08	1.2324702263593093e-08	3.602666336849806e-08
Chr08	5544000	5712000	583	2.648653780185777e-08	1.4263230280149577e-08	3.8035427202216804e-08
Chr08	5712000	5880000	758	2.8596371875676017e-08	1.5266223113084597e-08	3.9267862056089927e-08
Chr08	5880000	6048000	539	2.054943334736863e-08	1.0030117262501514e-08	3.399555818314952e-08
Chr08	6048000	6216000	627	1.9177327200913616e-08	8.744551224459194e-09	3.205835393504866e-08
Chr08	6216000	6384000	721	4.730446222026584e-08	3.697557949337037e-08	5.200241189399234e-08
Chr08	6384000	6552000	594	2.414142789443412e-08	1.1973745788110879e-08	3.716982252423344e-08
Chr08	6552000	6720000	288	1.793928895255663e-08	8.861931087184183e-09	3.136920417690662e-08
Chr08	6720000	6888000	846	2.8751651856898707e-08	1.5421503094307286e-08	3.9423142037312616e-08
Chr08	6888000	7056000	665	2.9079362885781434e-08	1.588874100212949e-08	3.93170324423268e-08
Chr08	7056000	7224000	749	3.048562187194669e-08	1.6879268006121816e-08	3.998486752868778e-08
Chr08	7224000	7392000	321	2.1271731686434353e-08	1.0632420698664307e-08	3.4886762744557244e-08
Chr08	7392000	7560000	515	4.486138963074628e-08	3.326505462738529e-08	4.996696470457342e-08
Chr08	7560000	7728000	254	1.0175035054838251e-08	3.0394383635393228e-09	2.0499941140495197e-08
Chr08	7728000	7896000	259	2.1862510784915092e-08	1.0941161182459927e-08	3.44350099155848e-08
Chr08	7896000	8064000	545	1.625584674257326e-08	7.629046446232486e-09	3.004002116667621e-08
