Chr Start End
Chr01 505000 509999
Chr01 1450000 1454999
Chr01 1750000 1754999
Chr01 2225000 2229999
Chr01 3745000 3749999
Chr01 3795000 3799999
Chr01 4215000 4219999
Chr01 4335000 4339999
Chr01 8420000 8424999
Chr01 8725000 8729999
Chr01 8770000 8774999
Chr01 8905000 8909999
Chr01 10955000 10959999
Chr01 10965000 10969999
Chr01 10970000 10974999
Chr01 11085000 11089999
Chr01 11130000 11134999
Chr01 11745000 11749999
Chr01 11940000 11944999
Chr01 12360000 12364999
Chr01 12520000 12524999
Chr01 12555000 12559999
Chr01 12560000 12564999
Chr01 13055000 13059999
Chr01 13310000 13314999
Chr01 13375000 13379999
Chr01 13825000 13829999
Chr01 13895000 13899999
Chr01 14085000 14089999
Chr01 14120000 14124999
Chr01 15320000 15324999
Chr01 15615000 15619999
Chr01 15775000 15779999
Chr01 15890000 15894999
Chr01 16305000 16309999
Chr01 16320000 16324999
Chr01 16395000 16399999
Chr01 16450000 16454999
Chr01 16455000 16459999
Chr01 16485000 16489999
Chr01 16560000 16564999
Chr01 16715000 16719999
Chr01 16725000 16729999
Chr01 16935000 16939999
Chr01 16940000 16944999
Chr01 16970000 16974999
Chr01 16975000 16979999
Chr01 16990000 16994999
Chr01 17095000 17099999
Chr01 17115000 17119999
Chr01 17195000 17199999
Chr01 17295000 17299999
Chr01 17325000 17329999
Chr01 17375000 17379999
Chr01 17425000 17429999
Chr01 17480000 17484999
Chr01 17495000 17499999
Chr01 17560000 17564999
Chr01 17570000 17574999
Chr01 17610000 17614999
Chr01 17640000 17644999
Chr01 17675000 17679999
Chr01 17695000 17699999
Chr01 17855000 17859999
Chr01 17870000 17874999
Chr01 18050000 18054999
Chr01 18070000 18074999
Chr01 18240000 18244999
Chr01 18305000 18309999
Chr01 18330000 18334999
Chr01 18510000 18514999
Chr01 19610000 19614999
Chr01 19660000 19664999
Chr01 19750000 19754999
Chr01 19905000 19909999
Chr01 20000000 20004999
Chr01 20200000 20204999
Chr01 22450000 22454999
Chr01 22940000 22944999
Chr01 23125000 23129999
Chr01 23190000 23194999
Chr01 23225000 23229999
Chr01 23470000 23474999
Chr01 23475000 23479999
Chr01 23485000 23489999
Chr01 23570000 23574999
Chr01 23750000 23754999
Chr01 24150000 24154999
Chr01 24245000 24249999
Chr01 24255000 24259999
Chr01 24260000 24264999
Chr01 24290000 24294999
Chr01 24340000 24344999
Chr01 24480000 24484999
Chr01 24500000 24504999
Chr01 24550000 24554999
Chr01 24685000 24689999
Chr01 24760000 24764999
Chr01 24805000 24809999
Chr01 24810000 24814999
Chr01 24815000 24819999
Chr01 24860000 24864999
Chr01 24875000 24879999
Chr01 25140000 25144999
Chr01 25230000 25234999
Chr01 25265000 25269999
Chr01 25345000 25349999
Chr01 25375000 25379999
Chr01 25755000 25759999
Chr01 26115000 26119999
Chr01 26145000 26149999
Chr01 26285000 26289999
Chr01 26350000 26354999
Chr01 26435000 26439999
Chr01 26500000 26504999
Chr01 26575000 26579999
Chr01 26595000 26599999
Chr01 26630000 26634999
Chr01 26680000 26684999
Chr01 26750000 26754999
Chr01 26915000 26919999
Chr01 26920000 26924999
Chr01 26950000 26954999
