Chr Start End
Chr01 625000 629999
Chr01 635000 639999
Chr01 710000 714999
Chr01 865000 869999
Chr01 990000 994999
Chr01 1540000 1544999
Chr01 1545000 1549999
Chr01 1610000 1614999
Chr01 1685000 1689999
Chr01 1690000 1694999
Chr01 1695000 1699999
Chr01 2270000 2274999
Chr01 2465000 2469999
Chr01 2490000 2494999
Chr01 2510000 2514999
Chr01 2520000 2524999
Chr01 2525000 2529999
Chr01 2555000 2559999
Chr01 3755000 3759999
Chr01 4030000 4034999
Chr01 4375000 4379999
Chr01 4480000 4484999
Chr01 4485000 4489999
Chr01 4540000 4544999
Chr01 4620000 4624999
Chr01 4880000 4884999
Chr01 4975000 4979999
Chr01 5315000 5319999
Chr01 5335000 5339999
Chr01 5560000 5564999
Chr01 5675000 5679999
Chr01 6205000 6209999
Chr01 6345000 6349999
Chr01 6450000 6454999
Chr01 6490000 6494999
Chr01 6605000 6609999
Chr01 6620000 6624999
Chr01 7055000 7059999
Chr01 7060000 7064999
Chr01 7125000 7129999
Chr01 7130000 7134999
Chr01 7175000 7179999
Chr01 7180000 7184999
Chr01 7555000 7559999
Chr01 7560000 7564999
Chr01 7660000 7664999
Chr01 7670000 7674999
Chr01 7710000 7714999
Chr01 7830000 7834999
Chr01 7840000 7844999
Chr01 7845000 7849999
Chr01 7870000 7874999
Chr01 7875000 7879999
Chr01 7880000 7884999
Chr01 7945000 7949999
Chr01 7990000 7994999
Chr01 8035000 8039999
Chr01 8050000 8054999
Chr01 8055000 8059999
Chr01 8060000 8064999
Chr01 8065000 8069999
Chr01 8070000 8074999
Chr01 8075000 8079999
Chr01 8080000 8084999
Chr01 8140000 8144999
Chr01 8180000 8184999
Chr01 8240000 8244999
Chr01 8245000 8249999
Chr01 8260000 8264999
Chr01 8265000 8269999
Chr01 8305000 8309999
Chr01 8365000 8369999
Chr01 8445000 8449999
Chr01 8490000 8494999
Chr01 8495000 8499999
Chr01 8530000 8534999
Chr01 8655000 8659999
Chr01 8700000 8704999
Chr01 8975000 8979999
Chr01 9260000 9264999
Chr01 9340000 9344999
Chr01 9385000 9389999
Chr01 9510000 9514999
Chr01 9525000 9529999
Chr01 9570000 9574999
Chr01 9575000 9579999
Chr01 9585000 9589999
Chr01 9715000 9719999
Chr01 10045000 10049999
Chr01 10055000 10059999
Chr01 10080000 10084999
Chr01 10940000 10944999
Chr01 11100000 11104999
Chr01 11290000 11294999
Chr01 11530000 11534999
Chr01 11540000 11544999
Chr01 11595000 11599999
Chr01 11600000 11604999
Chr01 11605000 11609999
Chr01 11610000 11614999
Chr01 11620000 11624999
Chr01 11655000 11659999
Chr01 12060000 12064999
Chr01 12390000 12394999
Chr01 12395000 12399999
Chr01 12990000 12994999
Chr01 13070000 13074999
Chr01 13120000 13124999
Chr01 13160000 13164999
Chr01 13340000 13344999
Chr01 13380000 13384999
Chr01 13510000 13514999
Chr01 13535000 13539999
Chr01 13620000 13624999
Chr01 13635000 13639999
Chr01 13665000 13669999
Chr01 13715000 13719999
Chr01 13885000 13889999
Chr01 13925000 13929999
Chr01 14155000 14159999
Chr01 14205000 14209999
Chr01 14300000 14304999
Chr01 14305000 14309999
Chr01 14330000 14334999
Chr01 14335000 14339999
Chr01 14355000 14359999
Chr01 14710000 14714999
Chr01 14715000 14719999
Chr01 14750000 14754999
Chr01 14775000 14779999
Chr01 14845000 14849999
Chr01 14860000 14864999
Chr01 14905000 14909999
Chr01 14925000 14929999
Chr01 15105000 15109999
Chr01 15130000 15134999
Chr01 15145000 15149999
Chr01 15170000 15174999
Chr01 15195000 15199999
Chr01 15335000 15339999
Chr01 15755000 15759999
Chr01 16565000 16569999
Chr01 16790000 16794999
Chr01 16845000 16849999
Chr01 16855000 16859999
Chr01 17055000 17059999
Chr01 17320000 17324999
Chr01 17595000 17599999
Chr01 17670000 17674999
Chr01 18915000 18919999
Chr01 19035000 19039999
Chr01 19040000 19044999
Chr01 19045000 19049999
Chr01 19050000 19054999
Chr01 19055000 19059999
Chr01 19145000 19149999
Chr01 19150000 19154999
Chr01 19155000 19159999
Chr01 19160000 19164999
Chr01 19575000 19579999
Chr01 19825000 19829999
Chr01 19830000 19834999
Chr01 19835000 19839999
Chr01 19840000 19844999
Chr01 19865000 19869999
Chr01 20005000 20009999
Chr01 20210000 20214999
Chr01 20395000 20399999
Chr01 20470000 20474999
Chr01 20475000 20479999
Chr01 20770000 20774999
Chr01 20775000 20779999
Chr01 20835000 20839999
Chr01 20885000 20889999
Chr01 20925000 20929999
Chr01 21070000 21074999
Chr01 21120000 21124999
Chr01 21550000 21554999
Chr01 21580000 21584999
Chr01 21665000 21669999
Chr01 21780000 21784999
Chr01 22180000 22184999
Chr01 22280000 22284999
Chr01 22285000 22289999
Chr01 22310000 22314999
Chr01 22345000 22349999
Chr01 22440000 22444999
Chr01 22800000 22804999
Chr01 22865000 22869999
Chr01 22885000 22889999
Chr01 22890000 22894999
Chr01 23135000 23139999
Chr01 23140000 23144999
Chr01 23335000 23339999
Chr01 23425000 23429999
Chr01 23530000 23534999
