Chr Start End
Chr01 968306 997327
Chr01 994926 1001746
Chr01 997338 1081082
Chr01 1533278 1543736
Chr01 1544441 1692203
Chr01 1612767 1787671
Chr01 1692271 2236146
Chr01 4446977 4887110
Chr01 5156381 5637981
Chr01 5184223 5683456
Chr01 5918138 6550846
Chr01 6484919 6579637
Chr01 6550881 6580445
Chr01 6610198 7574735
Chr01 7134589 7589373
Chr01 7982763 8053953
Chr01 8081161 8248052
Chr01 8092855 8285898
Chr01 8388424 8929933
Chr01 8788510 9099411
Chr01 8953713 9179240
Chr01 10079167 11213878
Chr01 12990379 13071851
Chr01 13067313 13115833
Chr01 13071885 13119445
Chr01 13115853 13151993
Chr01 13135936 13166615
Chr01 13152008 13207433
Chr01 13166636 13211550
Chr01 13212399 13333926
Chr01 13315500 13339675
Chr01 13333936 13407083
Chr01 13339705 13558313
Chr01 13437576 13693995
Chr01 13558328 13859547
Chr01 13694001 13931914
Chr01 13931929 14332191
Chr01 14179229 14426050
Chr01 14700120 14838478
Chr01 14784669 14878266
Chr01 14861960 15015046
Chr01 14887035 15067663
Chr01 15015481 15108429
Chr01 15067675 15110411
Chr01 15108542 15294968
Chr01 15110414 15444262
Chr01 15667414 15716504
Chr01 15713221 15828365
Chr01 15842670 16217759
Chr01 15947291 16515681
Chr01 16285284 16742627
Chr01 16796090 17078593
Chr01 17058457 17340653
Chr01 17340661 17467849
Chr01 17398653 17470862
Chr01 17468098 17556910
Chr01 17557045 17608296
Chr01 17585837 17608934
Chr01 17608409 17629402
Chr01 17652462 17816806
Chr01 17723263 17938819
Chr01 17816830 18094996
Chr01 17943855 18195406
Chr01 18195612 18287283
Chr01 18197151 18596071
Chr01 18857992 19592502
Chr01 19170913 19748330
Chr01 19830569 19851392
Chr01 19836545 19863703
Chr01 20185184 20346701
Chr01 20300366 20435118
Chr01 20346727 20484295
Chr01 20435477 20489037
Chr01 20501428 20524368
Chr01 20511962 20524733
Chr01 20524371 20668218
Chr01 20835631 21302262
Chr01 21228471 21307971
Chr01 21308001 21337798
Chr01 21317501 21362618
Chr01 21549014 21581848
Chr01 21550990 21586203
Chr01 21581959 21647608
Chr01 21586231 22142799
Chr01 21647693 22288577
Chr01 22142829 22558131
Chr01 22288622 22866020
Chr01 22561187 22965840
Chr01 22866097 23387996
Chr01 22968315 23556643
Chr01 23391001 23850947
Chr01 23558111 24076588
Chr01 23854786 24090544
Chr01 24076613 24125406
Chr01 24132163 24274086
Chr01 24336229 24569819
Chr01 24338538 24720772
Chr01 24569905 24836291
Chr01 24887366 25042294
Chr01 24974189 25187382
Chr01 25043809 25278914
Chr01 25187422 25334052
Chr01 26013461 26226171
Chr01 26254856 26483753
Chr01 26303892 26519744
Chr01 26856951 27087803
Chr01 27054762 27106623
Chr01 27088058 27107198
Chr01 27106632 27137893
Chr01 27107201 27233903
Chr01 27161495 27267335
Chr01 27726145 27915426
Chr01 28886203 28956813
Chr01 28943308 29200924
Chr01 30178765 31122296
Chr01 31399403 31862645
Chr01 31688130 31916088
Chr01 32020008 32237597
Chr01 32841622 33051622
Chr01 33591327 33872165
Chr01 33666099 34064372
Chr01 34341882 34581612
Chr01 34451077 34581925
Chr01 34752217 34833326
Chr01 34760937 34972793
Chr01 35225663 35437648
Chr01 35274001 35463521
Chr01 35437662 35802022
Chr01 35661035 35984124
Chr01 35809119 36344324
Chr01 35984240 36372200
Chr01 36344866 36375930
Chr01 36372206 36414988
Chr01 36375934 36515881
Chr01 36415121 36700338
Chr01 36515886 36853875
Chr01 36713426 37458766
Chr01 36853882 37480109
Chr01 37943651 38142590
Chr01 38181880 38591725
Chr01 38338601 38723909
Chr01 38591734 38883016
Chr01 38730495 38991272
Chr01 38910061 39098732
Chr01 38991285 39102566
Chr01 39099951 39102848
Chr01 39102568 39224888
Chr01 39102863 39235235
Chr01 39224960 39267696
Chr01 39235236 39282709
Chr01 39283031 39439418
Chr01 39442772 39708960
Chr01 39577943 39818516
Chr01 39728460 40114652
Chr01 39818766 40301515
Chr01 40301523 40562193
Chr01 40480933 40575415
Chr01 40562698 40577562
Chr01 40575422 40583120
Chr01 40577609 40751113
Chr01 40583126 40800749
Chr01 40751500 40816027
Chr01 40844351 41203850
Chr01 41057057 41380166
Chr01 41701312 41901945
Chr01 41815795 42082237
Chr01 41902652 42150676
Chr01 42082325 42151070
Chr01 42150729 42157407
Chr01 42151100 42168258
Chr01 42157413 42172329
Chr01 42168468 42174795
Chr01 42174854 42180910
Chr01 42175145 42196396
Chr01 42196426 42206431
Chr02 72188 386329
Chr02 268289 604185
Chr02 386474 780742
Chr02 615236 860609
Chr02 860637 1167006
Chr02 943987 1346474
Chr02 1739987 1872033
Chr02 1862121 2371434
Chr02 2409506 2414481
Chr02 2416881 2692903
Chr02 2434024 2810708
Chr02 3667688 4142129
Chr02 4078235 4251716
Chr02 4142149 4421241
Chr02 4463389 5478361
Chr02 4895674 5521608
Chr02 5521614 6057541
Chr02 5896237 6115823
Chr02 7268551 7378206
Chr02 7377699 7520545
Chr02 7378218 7564734
Chr02 7862188 8047891
Chr02 8057702 8350324
Chr02 9368273 10018385
Chr02 11041177 12186784
Chr02 11724344 13284040
Chr02 13667791 13962589
Chr02 13969785 14100466
Chr02 14036222 14151720
Chr02 14100488 14182849
Chr02 14151797 14374008
Chr02 14184293 14376925
Chr02 14374041 14380189
Chr02 14376948 14434792
Chr02 14380203 14695833
Chr02 14519708 15880337
Chr02 14695844 16367096
Chr02 17355823 17690741
Chr02 17384505 17883903
Chr02 17690743 18093009
Chr02 19187185 19571874
Chr02 19884742 20210784
Chr02 20211116 20268883
Chr02 20268975 20270461
Chr02 20269532 20270995
Chr02 20270474 20271493
Chr02 20587309 20906949
Chr02 21037714 21134640
Chr02 21051787 21136811
Chr02 21134665 21863956
Chr02 21197335 21893759
Chr02 21869811 21937278
Chr02 21896263 22172464
Chr02 22172474 22526905
Chr02 22353661 22604259
Chr02 22604300 22609334
Chr02 22646733 22651957
Chr02 22647784 22841212
Chr02 22930092 23268099
Chr02 23158724 24315329
Chr02 23271930 24554768
Chr02 24315345 24945943
Chr02 25110136 26747250
Chr02 27121741 27542163
Chr02 28395853 28595154
Chr02 28541988 28885663
Chr02 29105230 31121349
Chr02 29139438 31264069
Chr02 32812202 32897165
Chr02 32876062 33094154
Chr02 32897173 33367264
Chr02 33096507 33440122
Chr02 33371883 33741141
Chr02 33440137 33791141
