chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	444261	514830	0.100283	0.065344	0.052465	0.036430
Chr01	470198	558155	-0.063418	-0.073269	-0.045289	-0.010934
Chr01	514831	601979	-0.103815	-0.133035	-0.078957	-0.027278
Chr01	558160	709624	0.014099	0.008042	0.006163	0.000393
Chr01	602108	842274	0.025504	0.009078	0.007316	-0.011181
Chr01	709626	853051	-0.045962	-0.019559	-0.013434	-0.043825
Chr01	842277	867910	-0.035301	-0.035838	-0.017074	-0.009053
Chr01	858827	946203	-0.094031	-0.062157	-0.045833	-0.031943
Chr01	867914	976058	-0.160503	-0.054312	-0.048058	-0.087648
Chr01	946245	986869	-0.143961	-0.038864	-0.034688	-0.039934
Chr01	976067	998437	-0.092230	-0.021914	-0.019650	-0.017227
Chr01	986902	1003268	-0.337091	-0.095385	-0.082748	-0.123265
Chr01	998511	1025528	-0.403177	-0.131639	-0.112203	-0.149230
Chr01	1004304	1071019	-0.068019	-0.023860	-0.021214	-0.012752
Chr01	1025585	1082166	0.174272	0.069661	0.063846	0.025219
Chr01	1071024	1089478	0.122393	0.048017	0.043493	0.022556
Chr01	1082932	1154720	-0.042016	-0.016075	-0.014043	-0.001658
Chr01	1089489	1202882	0.034215	0.014304	0.012238	0.024269
Chr01	1154724	1331066	0.101754	0.058789	0.045529	0.054253
Chr01	1202884	1368285	-0.072679	-0.071336	-0.039653	-0.026508
Chr01	1331197	1376996	-0.130166	-0.179012	-0.079621	-0.039311
Chr01	1368293	1389169	-0.015417	-0.019983	-0.011173	-0.005936
Chr01	1376998	1410370	0.116627	0.116618	0.080053	0.054237
Chr01	1389789	1430917	0.156889	0.184658	0.134724	0.072963
Chr01	1410418	1437631	0.125226	0.196409	0.160115	0.055375
Chr01	1430920	1454857	0.214551	0.273759	0.253215	0.129599
Chr01	1438186	1460864	0.220203	0.235967	0.208535	0.142016
Chr01	1454887	1473931	0.179029	0.142616	0.118798	0.044234
Chr01	1460899	1523007	0.262214	0.130381	0.113291	0.037193
Chr01	1473944	1529102	0.041396	0.021226	0.018129	0.011549
Chr01	1523025	1541422	0.001132	0.000685	0.000594	0.000650
Chr01	1529158	1643990	0.045863	0.038153	0.031002	0.023416
Chr01	1541440	1698892	-0.037668	-0.027226	-0.020900	-0.013869
Chr01	1643996	1735178	0.110696	0.056230	0.048645	0.027511
Chr01	1713719	1785995	0.065066	0.055889	0.045236	0.021892
Chr01	1735184	2154751	-0.095732	-0.102342	-0.061336	-0.026348
Chr01	1786009	2185861	-0.065338	-0.077923	-0.048766	-0.025230
Chr01	2154752	2235768	-0.072812	-0.106496	-0.076991	-0.035482
Chr01	2186073	2333411	-0.048723	-0.054022	-0.036030	-0.020430
Chr01	2235770	2465462	0.135834	0.141461	0.111322	0.048064
Chr01	2333434	2515984	0.048927	0.060197	0.043226	0.005805
Chr01	2465463	2532121	-0.315329	-1.213015	-0.309674	-0.088701
Chr01	2516000	2542135	-0.498491	-2.676939	-0.464029	-0.158611
Chr01	2536628	2546350	-0.530060	-0.538666	-0.275685	-0.141251
Chr01	2542161	2556465	-0.213690	-0.227443	-0.143387	-0.064854
Chr01	2547159	2648565	-0.097466	-0.110395	-0.076180	-0.022898
Chr01	2556551	2793896	-0.210911	-0.091959	-0.075662	-0.042988
Chr01	2648658	2828594	-0.232751	-0.062325	-0.055795	-0.037717
Chr01	2794437	2874930	-0.201921	-0.078148	-0.067664	-0.032007
Chr01	2828619	2914096	-0.199528	-0.214237	-0.149122	-0.050898
Chr01	2876157	2966751	0.039234	0.042419	0.029250	0.012176
Chr01	2914144	3052293	0.073160	0.068076	0.049543	0.035142
Chr01	2971937	3345168	0.175835	0.163266	0.131611	0.095559
Chr01	3052296	3754494	0.144510	0.174488	0.131591	0.073130
