chrom	start	end	nSites	recombRate	CI95LO	CI95HI
b'Chr01'	310000	465000	41	2.8794982248650853e-09	0	7.730436764611692e-09
b'Chr01'	465000	620000	500	1.0842884999576166e-08	3.942483416111111e-09	2.2149298227461223e-08
b'Chr01'	620000	775000	224	0	0	3.806912873827169e-09
b'Chr01'	775000	930000	332	0	0	3.806912873827169e-09
b'Chr01'	930000	1085000	1020	5.290538169951354e-09	9.784356282476881e-10	1.2540072809215601e-08
b'Chr01'	1085000	1240000	805	5.489587838853696e-09	1.1774852971500298e-09	1.2739122478117943e-08
b'Chr01'	1395000	1550000	909	5.841627354706401e-09	1.5851332197709501e-09	1.3158814766243819e-08
b'Chr01'	1550000	1705000	686	5.31593952991044e-09	1.003836988206774e-09	1.2565474169174687e-08
b'Chr01'	1705000	1860000	579	2.564173809459003e-08	1.3974182395221638e-08	3.818480601223751e-08
b'Chr01'	2015000	2170000	103	5.072808836075098e-09	7.607062943714322e-10	1.2322343475339345e-08
b'Chr01'	2170000	2325000	504	6.6568074587125365e-09	1.8791090884506626e-09	1.4491459674589294e-08
b'Chr01'	2325000	2480000	680	1.2022312277455749e-08	4.029818055446876e-09	2.4637984162385924e-08
b'Chr01'	2480000	2635000	472	1.691560927046924e-09	6.021253733901444e-11	5.983534814451689e-09
b'Chr01'	2790000	2945000	254	2.51986752958361e-08	1.281438823331928e-08	3.7574261096419716e-08
b'Chr01'	2945000	3100000	673	2.741688070849051e-08	1.485520154496527e-08	3.909260083255077e-08
b'Chr01'	3720000	3875000	673	1.0275235435622019e-08	3.7089027136197744e-09	2.261473627896114e-08
b'Chr01'	3875000	4030000	607	2.789353919338727e-09	0	7.640292459085334e-09
b'Chr01'	4030000	4185000	504	5.105196417865386e-09	7.930938761617204e-10	1.2354731057129633e-08
b'Chr01'	4185000	4340000	602	1.2085772983082113e-09	0	5.500551185712976e-09
b'Chr01'	4340000	4495000	554	1.008400287415702e-08	3.517670152154776e-09	2.2423503717496142e-08
b'Chr01'	4495000	4650000	368	0	0	3.806912873827169e-09
b'Chr01'	4650000	4805000	420	1.535917637369176e-08	6.831137654045514e-09	2.8818610385456176e-08
b'Chr01'	4805000	4960000	611	5.3226917472239935e-09	1.0105892055203276e-09	1.257222638648824e-08
b'Chr01'	4960000	5115000	779	9.686800459333335e-09	3.2234564659874194e-09	2.1500721411952464e-08
b'Chr01'	5115000	5270000	548	2.7976360002146783e-08	1.5734753251639667e-08	3.926270865780592e-08
